Gender|TelephoneNumber|Company|Surname|GivenName|EmailAddress
male|412-695-3035|Rivera Property Maintenance|Parvin|Carlos|CarlosNParvin@dayrep.com
female|619-208-7731|Star Merchant Services|Kirkham|Lydia|LydiaLKirkham@superrito.com
female|559-934-1099|Good Times|Weber|Nancy|NancyTWeber@jourrapide.com
female|914-721-5530|AdventureSports!|Callaghan|Anne|AnneJCallaghan@dayrep.com
male|229-605-2171|Purity|Ross|Christopher|ChristopherYRoss@gustr.com
male|925-800-2016|Terra Nova Garden Services|Ford|Harry|HarryCFord@superrito.com
male|847-971-0887|Elek-Tek|Balderrama|George|GeorgeMBalderrama@cuvox.de
female|859-332-2107|Reliable Investments|Price|Renee|ReneeSPrice@dayrep.com
female|810-420-8811|Afforda Merchant Services|Martin|Mary|MaryLMartin@armyspy.com
female|718-996-1665|Northern Star|Daigle|Laura|LauraWDaigle@dayrep.com
male|517-464-1044|The Flying Bear|Wilkins|Steve|SteveSWilkins@armyspy.com
male|850-394-5191|StopGrey|Crowther|Scott|ScottDCrowther@fleckens.hu
female|307-202-9067|Monit|Day|Christa|ChristaDDay@teleworm.us
female|904-720-9704|Joseph Magnin|Priester|Pamela|PamelaJPriester@armyspy.com
male|214-929-0153|Superior Interactive|Hunter|Lyndon|LyndonGHunter@rhyta.com
female|212-573-1836|Coast to Coast Hardware|Galloway|Dollie|DollieWGalloway@dayrep.com
male|720-404-4848|Dream Home Improvements|McKinney|Dwayne|DwayneMMcKinney@einrot.com
male|303-812-8511|First Choice Yard Help|Firth|Gerald|GeraldCFirth@superrito.com
female|817-434-5233|Exact Solutions|Wilsey|Rebecca|RebeccaSWilsey@teleworm.us
female|714-879-4741|Hughes Markets|Deemer|Sheila|SheilaBDeemer@gustr.com
female|765-503-7800|Handy Dan|Bates|Amanda|AmandaRBates@cuvox.de
male|562-918-2765|System Star|Rowley|Antonio|AntonioDRowley@dayrep.com
female|308-367-3992|Soul Sounds Unlimited|Welton|Margaret|MargaretAWelton@gustr.com
female|714-557-7744|Gantos|Baier|Shirlene|ShirleneRBaier@armyspy.com
female|708-989-7275|University Stereo|Correa|Jennifer|JenniferACorrea@cuvox.de
female|714-427-3645|Matrix Architectural Service |Neilson|Valencia|ValenciaRNeilson@rhyta.com
female|202-265-3693|StopGrey|Ruffner|Marilyn|MarilynRRuffner@armyspy.com
male|315-805-3543|Present Company|Capetillo|Louis|LouisGCapetillo@jourrapide.com
male|952-938-7766|Foxmoor|Garcia|Thomas|ThomasJGarcia@armyspy.com
